,split
2998,train
2999,train
3000,test
3001,train
3002,train
3003,train
3004,val
3005,train
3006,train
3007,train
3008,train
3009,train
3010,test
3011,train
3012,val
3013,val
3014,train
3015,train
3016,train
3017,train
3018,val
3019,val
3020,test
3021,train
3022,test
3023,val
3024,val
3025,train
3026,train
3027,test
3028,train
3029,train
3030,train
3031,test
3032,train
3033,test
3034,train
3035,val
3036,train
3037,train
3038,test
3039,train
3040,test
3041,train
3042,train
3043,train
3044,train
3045,train
3046,train
3047,test
3048,train
3049,test
3050,train
3051,train
3052,train
3053,train
3054,train
3055,train
3056,train
3057,train
3058,train
3059,train
3060,train
3061,train
3062,train
3063,train
3064,train
3065,train
3066,train
3067,val
3068,test
3069,train
3070,train
3071,train
3072,train
3073,train
3074,train
3075,test
3076,train
3077,val
3078,test
3079,val
3080,train
3081,train
3082,train
3083,train
3084,train
3085,train
3086,train
3087,train
3088,train
3089,train
3090,train
3091,train
3092,test
3093,train
3094,train
3095,train
3096,train
3097,train
3098,val
3099,train
3100,train
3101,train
3102,train
3103,val
3104,train
3105,train
3106,test
3107,train
3108,val
3109,val
3110,val
3111,train
3112,train
3113,val
3114,train
3115,train
3116,train
3117,train
3118,train
3119,test
3120,val
3121,train
3122,val
3123,train
3124,val
3125,train
3126,test
3127,val
3128,train
3129,train
3130,train
3131,train
3132,train
3133,train
3134,train
3135,train
3136,train
3137,train
3138,val
3139,val
3140,train
3141,train
3142,train
3143,train
3144,val
3145,test
3146,train
3147,train
3148,train
3149,train
3150,val
3151,val
3152,train
3153,train
3154,train
3155,train
3156,train
3157,train
3158,train
3159,train
3160,test
3161,train
3162,train
3163,test
3164,train
3165,val
3166,train
3167,val
3168,train
3169,train
3170,val
3171,train
3172,val
3173,train
3174,test
3175,train
3176,test
3177,train
3178,train
3179,train
3180,train
3181,val
3182,train
3183,train
3184,train
3185,train
3186,train
3187,train
3188,train
3189,train
3190,test
3191,train
3192,train
3193,train
3194,train
3195,train
3196,train
3197,test
3198,val
3199,train
3200,train
3201,train
3202,train
3203,train
3204,test
3205,train
3206,val
3207,train
3208,train
3209,test
3210,train
3211,train
3212,train
3213,train
3214,train
3215,test
3216,train
3217,test
3218,val
3219,train
3220,train
3221,train
3222,train
3223,val
3224,test
3225,train
3226,train
3227,test
3228,train
3229,train
3230,train
3231,train
3232,val
3233,val
3234,train
3235,train
3236,train
3237,train
3238,val
3239,train
3240,train
3241,train
3242,test
3243,train
3244,train
3245,train
3246,test
3247,train
3248,train
3249,train
3250,train
3251,train
3252,train
3253,train
3254,test
3255,train
3256,train
3257,train
3258,train
3259,test
3260,test
3261,train
3262,train
3263,val
3264,train
3265,train
3266,train
3267,train
3268,train
3269,test
3270,train
3271,train
3272,train
3273,train
3274,test
3275,train
3276,val
3277,test
3278,val
3279,train
3280,train
3281,train
3282,train
3283,train
3284,train
3285,val
3286,val
3287,train
3288,train
3289,train
3290,train
3291,train
3292,train
3293,train
3294,train
3295,train
3296,train
3297,test
3298,train
3299,val
3300,train
3301,train
3302,val
3303,train
3304,train
3305,test
3306,train
3307,train
3308,val
3309,train
3310,val
3311,train
3312,train
3313,train
3314,train
3315,val
3316,test
3317,test
3318,test
3319,train
3320,train
3321,val
3322,train
3323,train
3324,train
3325,train
3326,test
3327,train
3328,train
3329,train
3330,train
3331,train
3332,val
3333,val
3334,train
3335,test
3336,train
3337,train
3338,val
3339,train
3340,train
3341,val
3342,train
3343,val
3344,train
3345,train
3346,train
3347,train
3348,train
3349,train
3350,train
3351,train
3352,train
3353,train
3354,val
3355,train
3356,val
3357,train
3358,train
3359,val
3360,test
3361,train
3362,train
3363,train
3364,train
3365,train
3366,val
3367,train
3368,train
3369,test
3370,test
3371,test
3372,train
3373,test
3374,train
3375,test
3376,train
3377,train
3378,train
3379,train
3380,train
3381,train
3382,train
3383,train
3384,train
3385,train
3386,train
3387,train
3388,val
3389,train
3390,train
3391,val
3392,train
3393,test
3394,train
3395,train
3396,test
3397,train
3398,train
3399,train
3400,train
3401,train
3402,train
3403,train
3404,train
3405,train
3406,train
3407,train
3408,test
3409,test
3410,train
3411,train
3412,train
3413,train
3414,train
3415,test
3416,train
3417,train
3418,test
3419,train
3420,train
3421,test
3422,train
3423,train
3424,train
3425,val
3426,val
3427,train
3428,train
3429,train
3430,train
3431,test
3432,test
3433,train
3434,train
3435,val
3436,test
3437,train
3438,train
3439,train
3440,train
3441,train
3442,val
3443,train
3444,train
3445,val
3446,train
3447,train
3448,train
3449,train
3450,train
3451,val
3452,val
3453,val
3454,val
3455,val
3456,train
3457,train
3458,train
3459,val
3460,train
3461,test
3462,val
3463,val
3464,train
3465,val
3466,train
3467,val
3468,train
3469,val
3470,train
3471,train
3472,train
3473,train
3474,test
3475,train
3476,train
3477,val
3478,train
3479,train
3480,train
3481,val
3482,test
3483,train
3484,train
3485,train
3486,train
3487,train
3488,val
3489,train
3490,val
3491,train
3492,test
3493,train
3494,train
3495,train
3496,val
3497,train
3498,train
3499,train
3500,test
3501,train
3502,train
3503,train
3504,test
3505,train
3506,train
3507,train
3508,test
3509,val
3510,test
3511,train
3512,train
3513,train
3514,val
3515,train
3516,train
3517,val
3518,train
3519,val
3520,train
3521,train
3522,train
3523,test
3524,val
3525,test
3526,train
3527,train
3528,train
3529,test
3530,train
3531,train
3532,train
3533,train
3534,test
3535,val
3536,val
3537,train
3538,train
3539,val
3540,train
3541,train
3542,train
3543,train
3544,train
3545,train
3546,train
3547,test
3548,train
3549,train
3550,train
3551,train
3552,train
3553,train
3554,train
3555,train
3556,train
3557,train
3558,train
3559,train
3560,train
3561,train
3562,val
3563,train
3564,train
3565,train
3566,train
3567,test
3568,train
3569,test
3570,train
3571,train
3572,train
3573,test
3574,train
3575,val
3576,train
3577,train
3578,train
3579,train
3580,test
3581,train
3582,train
3583,val
3584,train
3585,val
3586,train
3587,train
3588,train
3589,train
3590,train
3591,train
3592,train
3593,train
3594,train
3595,train
3596,val
3597,train
3598,test
3599,val
3600,val
3601,train
3602,train
3603,train
3604,train
3605,train
3606,train
3607,train
3608,val
3609,train
3610,test
3611,train
3612,train
3613,train
3614,train
3615,train
3616,train
3617,train
3618,train
3619,train
3620,train
3621,train
3622,train
3623,val
3624,test
3625,train
3626,train
3627,train
3628,train
3629,train
3630,test
3631,train
3632,train
3633,val
3634,val
3635,train
3636,train
3637,train
3638,train
3639,train
3640,train
3641,train
3642,train
3643,test
3644,train
3645,val
3646,train
3647,train
3648,train
3649,train
3650,val
3651,train
3652,train
3653,train
3654,val
3655,train
3656,train
3657,val
3658,test
3659,train
3660,train
3661,test
3662,train
3663,train
3664,train
3665,train
3666,train
3667,val
3668,test
3669,train
3670,train
3671,train
3672,train
3673,test
3674,val
3675,train
3676,train
3677,train
3678,train
3679,train
3680,train
3681,train
3682,test
3683,val
3684,train
3685,train
3686,train
3687,train
3688,train
3689,train
3690,val
3691,train
3692,test
3693,train
3694,train
3695,train
3696,train
3697,train
3698,test
3699,val
3700,train
3701,train
3702,train
3703,test
3704,train
3705,train
3706,train
3707,train
3708,train
3709,test
3710,test
3711,train
3712,train
3713,train
3714,val
3715,test
3716,train
3717,val
3718,test
3719,train
3720,train
3721,train
3722,train
3723,train
3724,test
3725,train
3726,train
3727,test
3728,test
3729,train
3730,train
3731,train
3732,train
3733,val
3734,train
3735,train
3736,train
3737,train
3738,train
3739,val
3740,train
3741,train
3742,test
3743,train
3744,train
3745,train
3746,train
3747,train
3748,train
3749,train
3750,train
3751,train
3752,train
3753,train
3754,test
3755,train
3756,train
3757,train
3758,train
3759,test
3760,train
3761,train
3762,test
3763,train
3764,train
3765,train
3766,train
3767,train
3768,train
3769,val
3770,train
3771,test
3772,train
3773,val
3774,train
3775,val
3776,train
3777,val
3778,train
3779,val
3780,val
3781,train
3782,train
3783,train
3784,train
3785,val
3786,train
3787,test
3788,train
3789,train
3790,train
3791,train
3792,train
3793,train
3794,train
3795,test
3796,train
3797,train
3798,test
3799,test
3800,train
3801,train
3802,train
3803,train
3804,train
3805,val
3806,train
3807,train
3808,train
3809,val
3810,val
3811,test
3812,train
3813,train
3814,train
3815,val
3816,train
3817,val
3818,test
3819,train
3820,train
3821,val
3822,train
3823,train
3824,test
3825,val
3826,train
3827,test
3828,test
3829,train
3830,train
3831,val
3832,train
3833,train
3834,train
3835,train
3836,train
3837,train
3838,test
3839,train
3840,test
3841,val
3842,train
3843,train
3844,val
3845,train
3846,train
3847,train
3848,train
3849,train
3850,test
3851,test
3852,train
3853,val
3854,train
3855,train
3856,test
3857,train
3858,train
3859,train
3860,train
3861,train
3862,train
3863,val
3864,test
3865,train
3866,train
3867,train
3868,val
3869,val
3870,train
3871,train
3872,test
3873,val
3874,test
3875,test
3876,train
3877,train
3878,train
3879,train
3880,train
3881,test
3882,val
3883,train
3884,train
3885,train
3886,val
3887,train
3888,train
3889,val
3890,train
3891,train
3892,train
3893,train
3894,train
3895,train
3896,train
3897,test
3898,train
3899,train
3900,train
3901,train
3902,train
3903,train
3904,val
3905,val
3906,val
3907,train
3908,val
3909,train
3910,train
3911,train
3912,train
3913,train
3914,train
3915,train
3916,train
3917,test
3918,test
3919,test
3920,train
3921,val
3922,test
3923,train
3924,test
3925,train
3926,train
3927,test
3928,train
3929,train
3930,train
3931,train
3932,test
3933,train
3934,train
3935,train
3936,test
3937,train
3938,train
3939,test
3940,train
3941,train
3942,train
3943,test
3944,val
3945,train
3946,train
3947,train
3948,train
3949,val
3950,val
3951,val
3952,val
3953,train
3954,train
3955,train
3956,train
3957,test
3958,train
3959,train
3960,train
3961,train
3962,train
3963,train
3964,test
3965,train
3966,train
3967,val
3968,train
3969,train
3970,train
3971,train
3972,train
3973,val
3974,train
3975,val
3976,val
3977,train
3978,train
3979,train
3980,train
3981,train
3982,train
3983,train
3984,test
3985,train
3986,test
3987,test
3988,train
3989,train
3990,train
3991,train
3992,test
3993,train
3994,train
3995,train
3996,train
3997,val
3998,train
3999,test
4000,train
4001,val
4002,train
4003,test
4004,train
4005,train
4006,train
4007,val
4008,train
4009,train
4010,train
4011,train
4012,train
4013,train
4014,train
4015,train
4016,train
4017,test
4018,train
4019,val
4020,train
4021,train
4022,train
4023,train
4024,train
4025,test
4026,train
4027,val
4028,train
4029,train
4030,val
4031,train
4032,train
4033,train
4034,train
4035,train
4036,train
4037,val
4038,train
4039,train
4040,train
4041,val
4042,test
4043,val
4044,train
4045,train
4046,val
4047,train
4048,train
4049,train
4050,test
4051,val
4052,train
4053,val
4054,train
4055,val
4056,train
4057,test
4058,val
4059,train
4060,test
4061,train
4062,test
4063,train
4064,test
4065,train
4066,train
4067,train
4068,train
4069,train
4070,train
4071,train
4072,train
4073,train
4074,train
4075,train
4076,val
4077,train
4078,train
4079,train
4080,test
4081,train
4082,train
4083,train
4084,train
4085,test
4086,train
4087,train
4088,val
4089,train
4090,train
4091,train
4092,train
4093,train
4094,val
4095,val
4096,train
4097,train
4098,train
4099,train
4100,train
4101,train
4102,train
4103,train
4104,test
4105,test
4106,train
4107,val
4108,train
4109,test
4110,train
4111,test
4112,train
4113,train
4114,train
4115,train
4116,test
4117,train
4118,train
4119,test
4120,train
4121,train
4122,train
4123,train
4124,train
4125,train
4126,train
4127,train
4128,train
4129,train
4130,val
4131,train
4132,val
4133,train
4134,train
4135,test
4136,test
4137,val
4138,test
4139,train
4140,test
4141,test
4142,train
4143,val
4144,val
4145,train
4146,test
4147,test
4148,train
4149,train
4150,test
4151,train
4152,val
4153,train
4154,train
4155,train
4156,val
4157,val
4158,test
4159,train
4160,test
4161,train
4162,train
4163,train
4164,test
4165,train
4166,val
4167,train
4168,test
4169,train
4170,test
4171,train
4172,train
4173,train
4174,train
4175,train
4176,train
4177,train
4178,test
4179,val
4180,train
4181,train
4182,train
4183,train
4184,train
4185,train
4186,test
4187,train
4188,train
4189,train
4190,train
4191,val
4192,val
4193,train
4194,test
4195,val
4196,train
4197,train
4198,test
4199,val
4200,val
4201,train
4202,train
4203,train
4204,train
4205,train
4206,train
4207,train
4208,train
4209,train
4210,test
4211,train
4212,test
4213,train
4214,train
4215,train
4216,train
4217,val
4218,train
4219,val
4220,train
4221,train
4222,test
4223,val
4224,test
4225,val
4226,train
4227,train
4228,train
4229,train
4230,train
4231,train
4232,train
4233,train
4234,train
4235,val
4236,train
4237,train
4238,train
4239,train
4240,train
4241,val
4242,train
4243,train
4244,train
4245,train
4246,train
4247,train
4248,val
4249,test
4250,train
4251,test
4252,test
4253,train
4254,train
4255,train
4256,train
4257,train
4258,train
4259,train
4260,train
4261,train
4262,train
4263,train
4264,train
4265,train
4266,train
4267,train
4268,train
4269,train
4270,train
4271,train
4272,train
4273,train
4274,train
4275,train
4276,train
4277,train
4278,train
4279,train
4280,train
4281,train
4282,train
4283,train
4284,train
4285,val
4286,train
4287,train
4288,train
4289,train
4290,test
4291,train
4292,train
4293,train
4294,val
4295,test
4296,train
4297,train
4298,train
4299,val
4300,train
4301,train
4302,val
4303,train
4304,val
4305,train
4306,train
4307,train
4308,train
4309,train
4310,train
4311,train
4312,train
4313,val
4314,test
4315,train
4316,val
4317,train
4318,train
4319,train
4320,train
4321,val
4322,train
4323,train
4324,train
4325,train
4326,train
4327,train
4328,val
4329,train
4330,val
4331,val
4332,train
4333,val
4334,train
4335,val
4336,test
4337,train
4338,train
4339,train
4340,train
4341,train
4342,train
4343,train
4344,train
4345,train
4346,test
4347,train
4348,val
4349,train
4350,train
4351,test
4352,train
4353,val
4354,train
4355,test
4356,val
4357,val
4358,train
4359,train
4360,val
4361,test
4362,train
4363,val
4364,train
4365,train
4366,test
4367,test
4368,train
4369,test
4370,train
4371,train
4372,test
4373,test
4374,test
4375,train
4376,train
4377,test
4378,test
4379,train
4380,train
4381,train
4382,test
4383,train
4384,train
4385,train
4386,val
4387,train
4388,train
4389,train
4390,train
4391,train
4392,train
4393,train
4394,train
4395,train
4396,train
4397,train
4398,val
4399,val
4400,train
4401,test
4402,train
4403,train
4404,train
4405,train
4406,train
4407,test
4408,train
4409,val
4410,train
4411,train
4412,test
4413,test
4414,train
4415,test
4416,val
4417,test
4418,test
4419,train
4420,val
4421,train
4422,val
4423,train
4424,train
4425,val
4426,test
4427,train
4428,val
4429,train
4430,test
4431,test
4432,train
4433,train
4434,train
4435,train
4436,test
4437,train
4438,train
4439,train
4440,val
4441,val
4442,test
4443,test
4444,train
4445,val
4446,test
4447,train
4448,train
4449,train
4450,val
4451,val
4452,train
4453,val
4454,train
4455,train
4456,train
4457,train
4458,val
4459,train
4460,train
4461,train
4462,train
4463,train
4464,train
4465,train
4466,train
4467,train
4468,train
4469,train
4470,train
4471,train
4472,test
4473,test
4474,train
4475,val
4476,val
4477,val
4478,train
4479,train
4480,val
4481,train
4482,train
4483,train
4484,val
4485,test
4486,train
4487,train
4488,train
4489,train
4490,train
4491,train
4492,train
4493,train
4494,val
4495,val
4496,train
4497,train
4498,val
4499,train
4500,train
4501,test
4502,test
4503,train
4504,train
4505,train
4506,train
4507,test
4508,train
4509,train
4510,train
4511,train
4512,train
4513,test
4514,train
4515,train
4516,val
4517,val
4518,test
4519,test
4520,train
4521,train
4522,train
4523,train
4524,test
4525,val
4526,val
4527,train
4528,val
4529,train
4530,train
4531,train
4532,val
4533,test
4534,test
4535,train
4536,test
4537,train
4538,train
4539,train
4540,test
4541,train
4542,val
4543,test
4544,train
4545,train
4546,test
4547,train
4548,train
4549,train
4550,train
4551,train
4552,train
4553,val
4554,val
4555,train
4556,train
4557,train
4558,train
4559,train
4560,train
4561,train
4562,train
4563,train
4564,train
4565,train
4566,val
4567,train
4568,train
4569,val
4570,train
4571,train
4572,val
4573,test
4574,train
4575,train
4576,val
4577,val
4578,test
4579,train
4580,train
4581,train
4582,train
4583,train
4584,train
4585,train
4586,train
4587,train
4588,test
4589,val
4590,val
4591,train
4592,val
4593,train
4594,train
4595,train
4596,train
4597,train
4598,val
4599,val
4600,train
4601,train
4602,test
4603,test
4604,train
4605,train
4606,train
4607,train
4608,train
4609,train
4610,train
4611,train
4612,train
4613,train
4614,train
4615,val
4616,val
4617,train
4618,train
4619,train
4620,train
4621,train
4622,test
4623,train
4624,train
4625,val
4626,test
4627,val
4628,val
4629,val
4630,val
4631,train
4632,test
4633,val
4634,val
4635,train
4636,train
4637,test
4638,train
4639,val
4640,train
4641,val
4642,train
4643,train
4644,train
4645,val
4646,test
4647,train
4648,train
4649,test
4650,val
4651,test
4652,test
4653,test
4654,train
4655,train
4656,train
4657,train
4658,train
4659,train
4660,train
4661,test
4662,train
4663,test
4664,train
4665,train
4666,test
4667,train
4668,train
4669,train
4670,train
4671,train
4672,val
4673,train
4674,test
4675,test
4676,train
4677,val
4678,train
4679,train
4680,val
4681,train
4682,val
4683,train
4684,test
4685,train
4686,train
4687,train
4688,train
4689,train
4690,val
4691,val
4692,val
4693,val
4694,val
4695,train
4696,train
4697,train
4698,train
4699,val
4700,train
4701,test
4702,train
4703,val
4704,train
4705,test
4706,train
4707,val
4708,train
4709,train
4710,train
4711,train
4712,train
4713,train
4714,train
4715,test
4716,train
4717,test
4718,train
4719,test
4720,val
4721,test
4722,val
4723,val
4724,train
4725,train
4726,train
4727,train
4728,train
4729,train
4730,val
4731,test
4732,val
4733,test
4734,val
4735,test
4736,train
4737,val
4738,train
4739,train
4740,train
4741,train
4742,train
4743,train
4744,train
4745,train
4746,train
4747,train
4748,val
4749,train
4750,train
4751,train
4752,train
4753,val
4754,train
4755,test
4756,train
4757,train
4758,train
4759,train
4760,test
4761,train
4762,train
4763,train
4764,train
4765,train
4766,train
4767,test
4768,train
4769,train
4770,train
4771,test
4772,train
4773,train
4774,test
4775,val
4776,train
4777,val
4778,train
4779,test
4780,train
4781,train
4782,train
4783,train
4784,train
4785,train
4786,train
4787,train
4788,test
4789,train
4790,train
4791,val
4792,train
4793,train
4794,train
4795,train
4796,train
4797,train
4798,train
4799,train
4800,val
4801,val
4802,train
4803,train
4804,train
4805,test
4806,train
4807,test
4808,train
4809,train
4810,test
4811,train
4812,train
4813,train
4814,train
4815,val
4816,train
4817,train
4818,train
4819,train
4820,train
4821,train
4822,val
4823,train
4824,val
4825,train
4826,val
4827,train
4828,train
4829,train
4830,train
4831,train
4832,val
4833,train
4834,train
4835,train
4836,test
4837,train
4838,val
4839,test
4840,val
4841,train
4842,train
4843,val
4844,test
4845,train
4846,val
4847,train
4848,train
4849,val
4850,test
4851,test
4852,train
4853,val
4854,train
4855,train
4856,val
4857,test
4858,test
4859,train
4860,test
4861,train
4862,val
4863,train
4864,train
4865,train
4866,test
4867,train
4868,train
4869,train
4870,val
4871,train
4872,train
4873,train
4874,train
4875,test
4876,test
4877,test
4878,train
4879,train
4880,train
4881,train
4882,val
4883,train
4884,val
4885,val
4886,train
4887,val
4888,test
4889,train
4890,train
4891,train
4892,train
4893,train
4894,train
4895,train
4896,test
4897,train
4898,test
4899,train
4900,train
4901,train
4902,train
4903,train
4904,train
4905,test
4906,test
4907,train
4908,train
4909,test
4910,test
4911,train
4912,train
4913,train
4914,train
4915,val
4916,test
4917,train
4918,train
4919,train
4920,test
4921,val
4922,train
4923,train
4924,val
4925,train
4926,train
4927,train
4928,train
4929,train
4930,train
4931,train
4932,train
4933,test
4934,train
4935,train
4936,test
4937,train
4938,train
4939,train
4940,val
4941,train
4942,train
4943,test
4944,train
4945,train
4946,train
4947,train
4948,train
4949,train
4950,test
4951,test
4952,train
4953,train
4954,test
4955,train
4956,train
4957,train
4958,test
4959,train
4960,val
4961,train
4962,test
4963,train
4964,val
4965,val
4966,train
4967,val
4968,train
4969,val
4970,train
4971,train
4972,val
4973,train
4974,train
4975,train
4976,test
4977,train
4978,train
4979,train
4980,val
4981,test
4982,train
4983,test
4984,train
4985,train
4986,train
4987,train
4988,train
4989,train
4990,train
4991,train
4992,train
4993,train
4994,train
4995,train
4996,val
4997,train
4998,train
4999,val
5000,test
5001,train
5002,test
5003,train
5004,train
5005,train
5006,train
5007,train
5008,test
5009,train
5010,test
5011,train
5012,train
5013,train
5014,train
5015,test
5016,train
5017,train
5018,train
5019,train
5020,train
5021,train
5022,val
5023,train
5024,train
5025,test
5026,val
5027,train
5028,train
5029,train
5030,train
5031,val
5032,train
5033,val
5034,train
5035,train
5036,train
5037,train
5038,test
5039,train
5040,train
5041,train
5042,train
5043,val
5044,train
5045,train
5046,train
5047,test
5048,train
5049,train
5050,train
5051,val
5052,train
5053,train
5054,train
5055,train
5056,test
5057,train
5058,train
5059,val
5060,train
5061,train
5062,train
5063,test
5064,train
5065,val
5066,train
5067,train
5068,train
5069,test
5070,test
5071,val
5072,val
5073,train
5074,train
5075,train
5076,train
5077,train
5078,train
5079,train
5080,val
5081,train
5082,train
5083,train
5084,train
5085,test
5086,test
5087,val
5088,test
5089,test
5090,val
5091,test
5092,test
5093,train
5094,train
5095,train
5096,test
5097,train
5098,train
5099,train
5100,train
5101,train
5102,test
5103,val
5104,test
5105,train
5106,train
5107,train
5108,train
5109,train
5110,train
5111,train
5112,train
5113,train
5114,train
5115,val
5116,train
5117,train
5118,train
5119,train
5120,train
5121,train
5122,val
5123,val
5124,val
5125,test
5126,train
5127,train
5128,train
5129,train
5130,train
5131,train
5132,test
5133,val
5134,train
5135,test
5136,train
5137,train
5138,val
5139,val
5140,train
5141,train
5142,test
5143,train
5144,train
5145,train
5146,train
5147,test
5148,train
5149,val
5150,val
5151,train
5152,train
5153,train
5154,train
5155,train
5156,train
5157,train
5158,train
5159,test
5160,test
5161,train
5162,train
5163,train
5164,train
5165,train
5166,val
5167,test
5168,train
5169,train
5170,train
5171,val
5172,train
5173,train
5174,train
5175,train
5176,train
5177,train
5178,val
5179,train
5180,train
5181,train
5182,test
5183,test
5184,train
5185,train
5186,val
5187,val
5188,val
5189,train
5190,train
5191,val
5192,train
5193,test
5194,test
5195,train
5196,train
5197,val
5198,val
5199,train
5200,train
5201,train
5202,train
5203,train
5204,train
5205,test
5206,train
5207,train
5208,val
5209,val
5210,train
5211,train
5212,train
5213,test
5214,train
5215,val
5216,test
5217,val
5218,train
5219,val
5220,train
5221,train
5222,val
5223,train
5224,val
5225,train
5226,test
5227,train
5228,train
5229,train
5230,train
5231,train
5232,train
5233,train
5234,train
5235,train
5236,train
5237,train
5238,test
5239,train
5240,train
5241,test
5242,train
5243,test
5244,train
5245,train
5246,test
5247,train
5248,val
5249,train
5250,train
5251,train
5252,train
5253,train
5254,train
5255,train
5256,train
5257,test
5258,train
5259,test
5260,train
5261,train
5262,train
5263,train
5264,train
5265,train
5266,train
5267,train
5268,val
5269,train
5270,train
5271,test
5272,train
5273,train
5274,train
5275,train
5276,val
5277,val
5278,train
5279,train
5280,train
5281,train
5282,test
5283,train
5284,train
5285,train
5286,train
5287,val
5288,train
5289,train
5290,train
5291,train
5292,train
5293,train
5294,train
5295,val
5296,train
5297,train
5298,train
5299,test
5300,test
5301,val
5302,train
5303,train
5304,train
5305,train
5306,train
5307,train
5308,train
5309,train
5310,train
5311,train
5312,train
5313,train
5314,val
5315,train
5316,val
5317,val
5318,train
5319,train
5320,train
5321,test
5322,train
5323,train
5324,train
5325,train
5326,train
5327,test
5328,train
5329,train
5330,val
5331,test
5332,train
5333,train
5334,train
5335,test
5336,test
5337,test
5338,val
5339,train
5340,val
5341,train
5342,test
5343,val
5344,train
5345,train
5346,test
5347,train
5348,train
5349,train
5350,val
5351,train
5352,val
5353,train
5354,test
5355,train
5356,train
5357,train
5358,test
5359,train
5360,val
5361,train
5362,train
5363,val
5364,val
5365,train
5366,train
5367,train
5368,train
5369,test
5370,test
5371,train
5372,train
5373,val
5374,train
5375,train
5376,train
5377,val
5378,train
5379,val
5380,train
5381,val
5382,train
5383,train
5384,train
5385,train
5386,train
5387,train
5388,train
5389,test
5390,train
5391,val
5392,train
5393,train
5394,train
5395,train
5396,val
5397,train
5398,train
5399,train
5400,train
5401,val
5402,val
5403,train
5404,train
5405,train
5406,test
5407,train
5408,train
5409,train
5410,train
5411,train
5412,train
5413,val
5414,train
5415,train
5416,test
5417,train
5418,train
5419,val
5420,train
5421,train
5422,val
5423,train
5424,train
5425,train
5426,train
5427,train
5428,train
5429,train
5430,train
5431,train
5432,train
5433,train
5434,val
5435,train
5436,train
5437,train
5438,val
5439,val
5440,train
5441,train
5442,train
5443,val
5444,train
5445,train
5446,train
5447,train
5448,train
5449,train
5450,train
5451,test
5452,train
5453,test
5454,train
5455,train
5456,train
5457,test
5458,train
5459,train
5460,train
5461,train
5462,train
5463,train
5464,train
5465,val
5466,train
5467,train
5468,test
5469,train
5470,train
5471,test
5472,train
5473,val
5474,train
5475,train
5476,train
5477,test
5478,train
5479,train
5480,train
5481,train
5482,train
5483,train
5484,val
5485,train
5486,train
5487,val
5488,train
5489,train
5490,train
5491,train
5492,train
5493,train
5494,train
5495,train
5496,train
5497,train
5498,train
5499,val
5500,train
5501,train
5502,train
5503,test
5504,test
5505,val
5506,train
5507,val
5508,train
5509,train
5510,val
5511,train
5512,train
5513,train
5514,train
5515,val
5516,val
5517,train
5518,val
5519,train
5520,train
5521,train
5522,train
5523,train
5524,train
5525,train
5526,train
5527,test
5528,train
5529,train
5530,train
5531,train
5532,test
5533,train
5534,train
5535,test
5536,train
5537,val
5538,train
5539,test
5540,val
5541,train
5542,val
5543,val
5544,train
5545,train
5546,train
5547,train
5548,test
5549,train
5550,train
5551,train
5552,train
5553,train
5554,train
5555,train
5556,train
5557,train
5558,train
5559,train
5560,val
5561,train
5562,train
5563,test
5564,train
5565,train
5566,train
5567,train
5568,train
5569,train
5570,train
5571,train
5572,train
5573,train
5574,test
5575,train
5576,val
5577,train
5578,val
5579,test
5580,train
5581,train
5582,train
5583,train
5584,val
5585,train
5586,train
5587,train
5588,train
5589,train
5590,test
5591,val
5592,train
5593,train
5594,test
5595,test
5596,train
5597,train
5598,train
5599,val
5600,test
5601,train
5602,train
5603,train
5604,train
5605,train
5606,train
5607,train
5608,train
5609,train
5610,train
5611,train
5612,train
5613,train
5614,train
5615,train
5616,train
5617,train
5618,train
5619,train
5620,train
5621,train
5622,train
5623,val
5624,train
5625,train
5626,train
5627,train
5628,train
5629,train
5630,val
5631,train
5632,train
5633,train
5634,train
5635,train
5636,train
5637,train
5638,train
5639,val
5640,train
5641,val
5642,test
5643,train
5644,train
5645,val
5646,train
5647,train
5648,train
5649,train
5650,test
5651,train
5652,test
5653,train
5654,train
5655,train
5656,train
5657,test
5658,train
5659,test
5660,train
5661,val
5662,train
5663,test
5664,train
5665,train
5666,train
5667,train
5668,train
5669,train
5670,train
5671,train
5672,val
5673,train
5674,train
5675,train
5676,test
5677,train
5678,test
5679,val
5680,train
5681,val
5682,train
5683,train
5684,train
5685,test
5686,train
5687,train
5688,train
5689,train
5690,val
5691,test
5692,train
5693,val
5694,train
5695,train
5696,train
5697,test
5698,test
5699,train
5700,val
5701,test
5702,test
5703,train
5704,train
5705,train
5706,train
5707,train
5708,train
5709,train
5710,val
5711,val
5712,test
5713,test
5714,test
5715,train
5716,train
5717,train
5718,test
5719,train
5720,train
5721,train
5722,train
5723,train
5724,val
5725,train
5726,train
5727,train
5728,train
5729,val
5730,train
5731,train
5732,train
5733,train
5734,train
5735,train
5736,train
5737,val
5738,train
5739,train
5740,train
5741,train
5742,train
5743,train
5744,train
5745,train
5746,train
5747,train
5748,train
5749,train
5750,train
5751,train
5752,test
5753,train
5754,val
5755,train
5756,train
5757,train
5758,train
5759,val
5760,val
5761,train
5762,train
5763,val
5764,train
5765,train
5766,test
5767,train
5768,train
5769,train
5770,test
5771,val
5772,test
5773,train
5774,val
5775,val
5776,train
5777,test
5778,train
5779,val
5780,train
5781,train
5782,test
5783,train
5784,test
5785,train
5786,test
5787,train
5788,test
5789,train
5790,train
5791,train
5792,train
5793,train
5794,train
5795,train
5796,train
